STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,CONSTRUCTION_NO,GATOR_CRACK_A_L,GATOR_CRACK_A_M,GATOR_CRACK_A_H,BLK_CRACK_A_L,BLK_CRACK_A_M,BLK_CRACK_A_H,EDGE_CRACK_L_L,EDGE_CRACK_L_M,EDGE_CRACK_L_H,LONG_CRACK_WP_L_L,LONG_CRACK_WP_L_M,LONG_CRACK_WP_L_H,LONG_CRACK_WP_SEAL_L_L,LONG_CRACK_WP_SEAL_L_M,LONG_CRACK_WP_SEAL_L_H,LONG_CRACK_NWP_L_L,LONG_CRACK_NWP_L_M,LONG_CRACK_NWP_L_H,LONG_CRACK_NWP_SEAL_L_L,LONG_CRACK_NWP_SEAL_L_M,LONG_CRACK_NWP_SEAL_L_H,TRANS_CRACK_NO_L,TRANS_CRACK_NO_M,TRANS_CRACK_NO_H,TRANS_CRACK_L_L,TRANS_CRACK_L_M,TRANS_CRACK_L_H,TRANS_CRACK_SEAL_L_L,TRANS_CRACK_SEAL_L_M,TRANS_CRACK_SEAL_L_H,PATCH_NO_L,PATCH_NO_M,PATCH_NO_H,PATCH_A_L,PATCH_A_M,PATCH_A_H,POTHOLES_NO_L,POTHOLES_NO_M,POTHOLES_NO_H,POTHOLES_A_L,POTHOLES_A_M,POTHOLES_A_H,SHOVING_NO,SHOVING_A,BLEEDING,POLISH_AGG_A,RAVELING,PUMPING_NO,PUMPING_L,OTHER,SURVEY_WIDTH,WP_LENGTH_CRACKED,TRANS_CRACK_L_GT183
46,South Dakota,0661,10/07/1992,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.399993896484,0,0,152.399993896484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEW ASPHALT OVERLAY,3.5,0,0
19,Iowa,0607,05/02/2007,6,0,89.5,38,0,109.599998474121,177.100006103516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,8,8.5,,3.70000004768372,289.899993896484,0
19,Iowa,0605,05/01/2007,11,5.40000009536743,3,0,0,0,0,0,0,0,0,0,0,0,0,0,320.299987792969,289.799987792969,0,0,0,0,24,8,1,53.5,29.6000003814697,3.70000004768372,0,0,0,0,0,0,0,0,0,1,0,0,0.0900000035762787,0,0,0,0,0,0,945.5,0,0,(13) 3.1 x 305.0 (EXCEPT @ MIDLINE),3.70000004768372,22,78.9000015258789
19,Iowa,0602,05/01/2007,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,244,61,305,0,0,0,11,17,1,15.8000001907349,55,3.59999990463257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098,0,0,,3.59999990463257,5,69.8000030517578
19,Iowa,0601,05/01/2007,8,1.60000002384186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.5,152.5,0,0,0,0,7,2,2,12.6999998092651,5.5,7.19999980926514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,0,0,,3.59999990463257,6.5,22.3999996185303
29,Missouri,A608,04/19/2006,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.300003051758,0,0,0,0,0,8,0,0,3.40000009536743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.300003051758,0,0,,3.70000004768372,0,0
29,Missouri,A606,04/18/2006,3,2.09999990463257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.100006103516,36.5,0,0,0,0,39,1,0,76.8000030517578,3.70000004768372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,,3.70000004768372,10.5,58.5999984741211
19,Iowa,0109,04/23/2007,2,0.899999976158142,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.5,0,0,0,0,4,1,0,7.19999980926514,1.79999995231628,0,0,0,0,2,3,0,245.5,23.5,0,0,0,0,0,0,0,0,0,0,234.300003051758,0,0,PATCH AT CL OWP - ENTIRE SECTION.  (13) ENTIRE SECTION ( - PATCH) = 234.25,3.29999995231628,9,9
19,Iowa,0106,04/23/2007,3,0.400000005960464,1.60000002384186,16.8999996185303,0,0,0,0,0,0,0,0,0,0,0,0,9.5,11,63.2999992370605,0,0,0,11,13,9,6.59999990463257,17.5,12.8000001907349,0,0,0,0,1,5,0,91.5,164.399993896484,0,0,0,0,0,0,0,0,0,0,262.600006103516,3,63.2999992370605,,3.40000009536743,36.5,18.7000007629395
19,Iowa,0101,04/24/2007,3,2.40000009536743,0,3.70000004768372,0,0,0,0,0,0,0,0,0,0,0,0,18,0,15.3000001907349,0,0,0,8,6,6,4.5,4.90000009536743,12.3000001907349,0,0,0,0,0,8,0,0,252.100006103516,0,0,0,0,0,0,0,0,0,0,312.100006103516,0,0,,3.70000004768372,21,14.1000003814697
18,Indiana,5528,11/15/2005,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.9000015258789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.70000004768372,0,0
24,Maryland,0501,09/06/2001,4,26.2000007629395,24.6000003814697,29.6000003814697,0,0,0,0,0,0,0.899999976158142,0,0,0,0,0,156.100006103516,44.5,76.3000030517578,6.5,0,0,13,8,0,13.5,25,0,0,0,0,3,3,1,7.80000019073486,12.1999998092651,5.19999980926514,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.70000004768372,142.100006103516,31.8999996185303
87,Ontario,0962,09/27/2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.70000004768372,0,0
87,Ontario,0961,09/27/2001,1,221.100006103516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.5,40,0,0,0,0,2,0,0,1.89999997615814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BEGINNING STAGES OF RAVELLING, NOT RATED",3.79999995231628,304.799987792969,0
87,Ontario,0960,09/27/2001,1,118.900001525879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70000004768372,30.5,122,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.70000004768372,262.5,3.09999990463257
87,Ontario,0903,09/26/2001,1,37.0999984741211,0,0,0,0,0,0,0,0,2,10,0,0,0,0,22.8999996185303,61.5,0,0,0,0,4,0,0,1.70000004768372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.70000004768372,89.4000015258789,0
87,Ontario,0902,09/27/2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19999980926514,57.9000015258789,91.5,0,0,0,1,0,0,0.400000005960464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.70000004768372,0,0
87,Ontario,0901,09/26/2001,1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9000015258789,101.099998474121,0,0,0,0,5,1,0,5.59999990463257,3.70000004768372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,SHOWING EARLY SIGNS OF FATIGUE TOO SMALL TOO RATE,3.70000004768372,7,7.40000009536743
86,Nova Scotia,6802,08/14/2001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POST OVERLAY,4,0,0
50,Vermont,1004,08/15/2001,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POST OVERLAY,3.59999990463257,0,0
37,North Carolina,0902,10/10/2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.70000004768372,0,0
37,North Carolina,0901,10/10/2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.70000004768372,0,0
37,North Carolina,0903,10/10/2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.70000004768372,0,0
9,Connecticut,4020,07/24/2001,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POST OVERLAY SUMMER 2001 1 INCH OVERLAY FROM CENTERLINE TO EDGE OF PAVEMENT,3.70000004768372,0,0
54,West Virginia,1640,09/25/2001,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POST OVERLAY,3.70000004768372,0,0
